Capital City,Date,Residential Property Price($)
Sydney,Dec-11,98.4
Sydney,Mar-12,100.3
Sydney,Jun-12,101.4
Sydney,Sep-12,100.9
Sydney,Dec-12,103.7
Sydney,Mar-13,104.7
Sydney,Jun-13,108.7
Sydney,Sep-13,112.8
Sydney,Dec-13,119
Sydney,Mar-14,121.7
Sydney,Jun-14,126
Sydney,Sep-14,128.8
Sydney,Dec-14,133.4
Sydney,Mar-15,137.6
Sydney,Jun-15,149.8
Sydney,Sep-15,154.4
Sydney,Dec-15,151.9
Sydney,Mar-16,150.9
Sydney,Jun-16,155.2
Sydney,Sep-16,159.3
Sydney,Dec-16,167.6
Sydney,Mar-17,172.7
Sydney,Jun-17,176.6
Sydney,Sep-17,174.2
Sydney,Dec-17,174
Sydney,Mar-18,171.9
Sydney,Jun-18,169.8
Sydney,Sep-18,166.6
Sydney,Dec-18,160.5
Sydney,Mar-19,154.2
Sydney,Jun-19,153.5
Sydney,Sep-19,159
Sydney,Dec-19,166.4
Sydney,Mar-20,169.6
Sydney,Jun-20,165.9
Sydney,Sep-20,167.6
Sydney,Dec-20,172.6
Sydney,Mar-21,183.1
Sydney,Jun-21,197.9
Sydney,Sep-21,210.1
Sydney,Dec-21,218.7
Melbourne,Dec-11,100
Melbourne,Mar-12,99.4
Melbourne,Jun-12,99.3
Melbourne,Sep-12,98.6
Melbourne,Dec-12,100.4
Melbourne,Mar-13,100.8
Melbourne,Jun-13,102.7
Melbourne,Sep-13,105.9
Melbourne,Dec-13,109.7
Melbourne,Mar-14,110.7
Melbourne,Jun-14,112.1
Melbourne,Sep-14,113.1
Melbourne,Dec-14,115.2
Melbourne,Mar-15,115.9
Melbourne,Jun-15,120.8
Melbourne,Sep-15,124.3
Melbourne,Dec-15,126.3
Melbourne,Mar-16,127.3
Melbourne,Jun-16,130.7
Melbourne,Sep-16,132.9
Melbourne,Dec-16,140
Melbourne,Mar-17,144.4
Melbourne,Jun-17,148.7
Melbourne,Sep-17,150.4
Melbourne,Dec-17,154.3
Melbourne,Mar-18,153.4
Melbourne,Jun-18,152.1
Melbourne,Sep-18,148.1
Melbourne,Dec-18,144.5
Melbourne,Mar-19,139
Melbourne,Jun-19,137.9
Melbourne,Sep-19,142.9
Melbourne,Dec-19,150.4
Melbourne,Mar-20,153.5
Melbourne,Jun-20,150
Melbourne,Sep-20,149.6
Melbourne,Dec-20,154.7
